depth,variable,sample_count,start_time,end_time,averaged_time,mean_manual,mean_averaged,bias,mean_abs_error,rms_error,max_abs_error,relative_rms_error
16,S,145,0.00000000,86400.00000000,86400.00000000,1.82423358e+01,1.82423361e+01,-3.01190624e-07,1.22456035e-06,9.83768252e-06,1.86607098e-03,3.90855068e-07
16,T,145,0.00000000,86400.00000000,86400.00000000,1.10535539e+00,1.10535639e+00,-9.99583246e-07,8.73291861e-06,5.21762449e-05,1.15448952e-02,3.00415049e-05
16,e,145,0.00000000,86400.00000000,86400.00000000,1.83464172e-06,1.84738229e-06,-1.27405666e-08,1.31999681e-08,5.86132910e-07,2.07624722e-04,6.89656154e-03
16,u,145,0.00000000,86400.00000000,86400.00000000,-2.13938259e-03,-2.15423942e-03,1.48568234e-05,3.07806987e-05,6.98298961e-05,4.10193463e-03,6.89655161e-03
16,v,145,0.00000000,86400.00000000,86400.00000000,5.15127835e-04,5.18705111e-04,-3.57727672e-06,2.34500837e-05,5.65368363e-05,6.38111591e-03,6.89655134e-03
16,w,145,0.00000000,86400.00000000,86400.00000000,-3.81890782e-07,-3.84542811e-07,2.65202943e-09,2.14699211e-07,1.87297163e-06,6.38839694e-04,6.89654832e-03
26,S,145,0.00000000,86400.00000000,86400.00000000,1.90717363e+01,1.90717369e+01,-5.55014352e-07,2.61070348e-06,5.71720006e-05,1.74934387e-02,2.22526217e-06
26,T,145,0.00000000,86400.00000000,86400.00000000,2.18765503e+00,2.18765429e+00,7.39986213e-07,2.59735083e-05,1.77078251e-04,4.14806958e-02,5.36949329e-05
26,e,145,0.00000000,86400.00000000,86400.00000000,1.91440616e-06,1.92770065e-06,-1.32944880e-08,1.36455263e-08,1.04431054e-06,1.43647138e-03,6.89654022e-03
26,u,145,0.00000000,86400.00000000,86400.00000000,-7.14506844e-04,-7.19468697e-04,4.96185292e-06,3.36804026e-05,7.40097905e-05,5.92000686e-03,6.89655186e-03
26,v,145,0.00000000,86400.00000000,86400.00000000,3.03781265e-04,3.05890857e-04,-2.10959213e-06,2.75853360e-05,7.35384802e-05,5.64607935e-03,6.89655187e-03
26,w,145,0.00000000,86400.00000000,86400.00000000,-3.19312150e-07,-3.21529602e-07,2.21745185e-09,1.68829497e-07,1.52369379e-06,3.46681368e-04,6.89655291e-03
36,S,145,0.00000000,86400.00000000,86400.00000000,1.96819382e+01,1.96819371e+01,1.01398002e-06,6.28448835e-06,6.45177221e-05,1.73388514e-02,2.46958996e-06
36,T,145,0.00000000,86400.00000000,86400.00000000,3.88372712e+00,3.88372375e+00,3.37761850e-06,5.30686904e-05,2.42394937e-04,4.44387502e-02,4.14398608e-05
36,e,145,0.00000000,86400.00000000,86400.00000000,2.85786946e-06,2.87771578e-06,-1.98463136e-08,2.01618627e-08,3.27341070e-07,1.22548520e-04,6.89655596e-03
36,u,145,0.00000000,86400.00000000,86400.00000000,2.95512785e-04,2.97564957e-04,-2.05217173e-06,5.65032821e-05,1.17139920e-04,6.21897050e-03,6.89655161e-03
36,v,145,0.00000000,86400.00000000,86400.00000000,2.71596380e-04,2.73482467e-04,-1.88608616e-06,4.01778815e-05,9.12280134e-05,5.86649917e-03,6.89655185e-03
36,w,145,0.00000000,86400.00000000,86400.00000000,-2.37252241e-07,-2.38899823e-07,1.64758212e-09,1.34804500e-07,1.17239267e-06,1.97573285e-04,6.89655192e-03
56,S,145,0.00000000,86400.00000000,86400.00000000,2.09101826e+01,2.09101798e+01,2.73078227e-06,2.07325731e-05,9.96524950e-05,8.79798100e-03,3.68960097e-06
56,T,145,0.00000000,86400.00000000,86400.00000000,7.81660872e+00,7.81660844e+00,2.83257115e-07,1.65987631e-04,6.04589787e-04,4.42608603e-02,4.90676367e-05
56,e,145,0.00000000,86400.00000000,86400.00000000,6.32750711e-06,6.37144813e-06,-4.39410192e-08,4.62614036e-08,1.84369829e-06,1.39043562e-03,6.89656344e-03
56,u,145,0.00000000,86400.00000000,86400.00000000,1.75600033e-03,1.76819478e-03,-1.21944466e-05,1.10576083e-04,2.17597259e-04,1.08173984e-02,6.89655158e-03
56,v,145,0.00000000,86400.00000000,86400.00000000,1.30005597e-03,1.30908413e-03,-9.02816662e-06,9.36913279e-05,1.94561568e-04,5.64031871e-03,6.89655169e-03
56,w,145,0.00000000,86400.00000000,86400.00000000,-5.81292874e-08,-5.85329625e-08,4.03675102e-10,5.48817843e-08,2.21545521e-07,8.53201291e-05,6.89655235e-03
75,S,145,0.00000000,86400.00000000,86400.00000000,2.17550392e+01,2.17550460e+01,-6.81482155e-06,1.40986985e-04,4.02000552e-04,1.71269910e-02,1.46709524e-05
75,T,145,0.00000000,86400.00000000,86400.00000000,1.02286294e+01,1.02290845e+01,-4.55010599e-04,8.42113672e-04,1.59996094e-03,2.01908243e-02,1.03425265e-04
75,e,145,0.00000000,86400.00000000,86400.00000000,1.20008762e-04,1.20842156e-04,-8.33394181e-07,8.36639125e-07,1.84660902e-06,1.07401272e-03,6.89654862e-03
75,u,145,0.00000000,86400.00000000,86400.00000000,-9.27180695e-03,-9.33619450e-03,6.43875499e-05,3.88634585e-04,6.63277355e-04,2.14036393e-02,6.89655177e-03
75,v,145,0.00000000,86400.00000000,86400.00000000,1.71363714e-03,1.72553740e-03,-1.19002584e-05,2.67753566e-04,4.75826631e-04,1.03377396e-02,6.89655182e-03
75,w,145,0.00000000,86400.00000000,86400.00000000,3.11611323e-10,3.13775293e-10,-2.16396969e-12,4.36972337e-09,2.10961518e-08,2.43346038e-06,6.89655139e-03
